Name,Producer,Vintage,Price,DO,Variety,Type,Country,Region,Cost,Supplier,abv,cl
Weingut A.J. Adam Dhroner Hofberg Riesling Kabinett,A.J. Adam,2016,72.00,Dhron,Riesling,White,Alemania,Mosel,24.00,Wine Searcher,8.5,75
Barzen Riesling Trocken 1886,Alexander Barzen  ,2017,30.75,Mosel,Riesling,White,Alemania,Mosel,10.25,Media Relations,11.5,75
Dr. Loosen Erdener Prälat Alte Reben Riesling GG,Dr. Loosen,2014,273.00,Erden,Riesling,White,Alemania,Mosel,91.00,Wine Searcher,13.0,75
Egon Müller Scharzhofberger Riesling Kabinett,Egon Müller,2015,285.00,Wiltingen,Riesling,White,Alemania,Mosel-Saar,95.00,Wine Searcher,8.5,75
Egon Müller Scharzhof Riesling,Egon Müller,2017,138.00,Saar,Riesling,White,Alemania,Mosel-Saar,46.00,Wine Searcher,11.5,75
Scharzhofberger Riesling Kabinett,Egon Müller ,2011,144.30,Mosel Wiltingen,Riesling,White,Alemania,Mosel,48.10,EL GUSTO POR EL VINO CANARIAS S.L.,9.0,75
Teppo,FIO Wines,2017,31.50,Mosel,Riesling,White,Alemania,Mosel,10.50,Buena Uva,10.5,75
FIO Wines Cabisehrnett,FIO Wines,2017,75.00,Mosel,Riesling,White,Alemania,Mosel,25.00,Wine Searcher,8.5,75
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Spätlese,Fritz Haag,2017,102.00,Brauneberg,Riesling,White,Alemania,Mosel,34.00,Wine Searcher,8.0,75
Weingut Günther Steinmetz Piesporter Treppchen Von den Terrassen Riesling,Günther Steinmetz ,2014,114.00,Piesport,Riesling,White,Alemania,Mosel,38.00,Wine Searcher,11.5,75
Schieferterrassen Trocken,Heymann-Löwenstein,2013,51.00,Mosel,Riesling,White,Alemania,Mosel,17.00,Gourmet Hunters,13.5,75
Heymann-Löwenstein L Uhlen Laubach GG,Heymann-Löwenstein,2017,111.00,Winningen,Riesling,White,Alemania,Mosel,37.00,Wine Searcher,12.5,75
Wehlener Sonnenuhr Spätlese,J. J. Prüm,2007,87.00,Wehlen,Riesling,White,Alemania,Mosel,29.00,Gourmet Hunters,8.0,75
Julian Haart Piesporter Goldtröpfchen Riesling,Julian Haart ,2016,174.00,Piesport,Riesling,White,Alemania,Mosel,58.00,Wine Searcher,13.0,75
Reinhold Haart Piesporter Goldtröpfchen Riesling GG,Reinhold Haart,2015,87.00,Piesport,Riesling,White,Alemania,Mosel,29.00,Wine Searcher,12.5,75
Selbach-Oster Zeltinger Sonnenuhr Riesling Spätlese,Selbach-Oster ,2015,81.00,Zeltingen,Riesling,White,Alemania,Mosel,27.00,Wine Searcher,9.0,75
Van Volxem Scharzhofberger P. Pergentsknopp Riesling GG,Van Volxem,2017,126.00,Saar,Riesling,White,Alemania,Mosel-Saar,42.00,Wine Searcher,12.0,75
Weingut Willi Schaefer Graacher Domprobst Riesling Kabinett,Willi Schaefer,2018,87.00,Graach,Riesling,White,Alemania,Mosel,29.00,Wine Searcher,8.0,75
Weingut Dönnhoff Niederhauser Hermannshöhle Riesling GG,Dönnhoff,2016,201.00,Niederhausen,Riesling,White,Alemania,Nahe,67.00,Wine Searcher,13.5,75
Weingut Emrich-Schönleber Monzinger Halenberg Riesling GG,Emrich-Schönleber,2016,126.00,Monzingen,Riesling,White,Alemania,Nahe,42.00,Wine Searcher,12.5,75
Weingut Emrich-Schönleber Monzinger Halenberg Riesling Spätlese,Emrich-Schönleber,2018,78.00,Monzingen,Riesling,White,Alemania,Nahe,26.00,Wine Searcher,9.5,75
Weingut Emrich-Schönleber Trocken Mineral,Emrich-Schönleber,2018,51.00,Nahe,Riesling,White,Alemania,Nahe,17.00,Wine Searcher,12.5,75
Schäfer-Fröhlich Schiefergestein Bockenauer Riesling Trocken,Schäfer-Fröhlich,2018,60.00,Bockenau,Riesling,White,Alemania,Nahe,20.00,Wine Searcher,12.5,75
Dr. Bürklin-Wolf Forster Kirchenstück GC Riesling Trocken,Dr. Bürklin-Wolf,2017,492.00,Forst an der Weinstrasse,Riesling,White,Alemania,Pfalz,164.00,Wine Searcher,13.0,75
Dr. Bürklin-Wolf Ruppertsberger Gaisböhl GC Riesling Trocken,Dr. Bürklin-Wolf,2014,141.00,Ruppertsberg,Riesling,White,Alemania,Pfalz,47.00,Wine Searcher,12.5,75
Koehler-Ruprecht R Kallstadter Saumagen Riesling Auslese Trocken,Koehler-Ruprecht,2008,261.00,Kallstadt,Riesling,White,Alemania,Pfalz,87.00,Wine Searcher,12.5,75
Müller-Catoir Haardter Muskateller Trocken,Müller-Catoir ,2017,75.00,Haardt,Muskateller,White,Alemania,Pfalz,25.00,Wine Searcher,12.5,75
Ökonomierat Rebholz Im Sonnenschein Weissburgunder  GG,Ökonomierat Rebholz,2017,123.00,Siebeldingen,Weissburgunder,White,Alemania,Pfalz,41.00,Wine Searcher,13.0,75
Im Sonnenschein Spätlese Trocken,Ökonomierat Rebholz ,1999,45.00,Pfalz Siebeldingen,Riesling,White,Alemania,Pfalz,15.00,SIDRAL S.L.,13.0,75
Villa Wolf Gewürztraminer,Villa Wolf ,2016,26.25,Pfalz,Gewürztraminer,White,Alemania,Pfalz,8.75,Piñero,11.5,75
White Rabbit,J. Bäumer,2017,18.00,Rhein,Riesling,White,Alemania,Rhein,6.00,Buena Uva,9.0,75
August Kesseler R Riesling Kabinett,August Kesseler,2018,45.00,Rheingau,Riesling,White,Alemania,Rheingau,15.00,Wine Searcher,10.5,75
Rüdesheim Berg Schlossberg Riesling GG,August Kesseler ,2012,99.00,Rheingau Rudesheim,Riesling,White,Alemania,Rheingau,33.00,,13.5,75
